id,codigo_barras,nombre,marca,categoria,departamento,unidad,precio,precio_descuento,desde_piezas,precio_caja,piezas_caja,precio_unitario_valor,precio_unitario_unidad,stock,disponible
6632021,01068,Queso Manchego Lala (2.3 Kg),LALA,QUESOS MADUROS,Cremería y Salchichonería,KG,167.0,149.9,,,,72.61,kg,17,True
0191048,00401,Queso Manchego Nochebuena (4 Kg),NOCHEBUENA,QUESOS MADUROS,Cremería y Salchichonería,PZA,178.0,166.3,,,,44.5,kg,98,True
00740237,00898,Queso Manchego Redondo Fud (2.5 Kg),FUD,QUESOS MADUROS,Cremería y Salchichonería,PZA,189.7,176.9,,,,75.88,kg,11,True
6632020,01050,Queso Manchego Sabori (4.8 Kg),SABORI,QUESOS MADUROS,Cremería y Salchichonería,KG,157.9,148.9,,,,32.9,kg,15,True
6632013,00932,Queso Manchego Zwan Premiun Por KG,ZWAN,QUESOS MADUROS,Cremería y Salchichonería,PZA,149.7,142.1,,,,,,10,True
01605002,00369,Queso Mozzarella para Pizza Saucito (2.5 Kg),SAUCITO,QUESOS MADUROS,Cremería y Salchichonería,PZA,112.1,101.9,,,,44.84,kg,27,True
7604702,7501518476354,Queso Parmesano Parma 85g,PARMA,QUESOS MADUROS,Cremería y Salchichonería,PZA,51.2,46.12,,1106.9,24,602.35,kg,44,True
01805112,00035,Queso Estilo Oaxaca El Edén (2.8 Kg),EL EDEN,QUESOS OAXACA,Cremería y Salchichonería,PZA,131.9,125.5,,,,47.11,kg,27,True
0220051,00865,Queso Oaxaca Calderón  (3.1 Kg),CALDERON,QUESOS OAXACA,Cremería y Salchichonería,PZA,138.3,127.9,,,,44.61,kg,172,True
01005001,00039,Queso Oaxaca Cataviña (3 Kg),CATAVIÑA,QUESOS OAXACA,Cremería y Salchichonería,PZA,153.9,143.2,,,,51.3,kg,60,True
01805031,00300,Queso Oaxaca Don Oaxaca (2.8 Kg),DON OAXACA,QUESOS OAXACA,Cremería y Salchichonería,PZA,99.0,,,,,35.36,kg,40,True
01805125,00283,Queso Oaxaca Don Oaxaca Mini  (1 Kg),DON OAXACA,QUESOS OAXACA,Cremería y Salchichonería,PZA,99.0,,,,,99.0,kg,60,True
01805120,00949,Queso Oaxaca El Campirano por Kilo,EL CAMPIRANO,QUESOS OAXACA,Cremería y Salchichonería,PZA,145.7,134.9,,,,,,8,True
01005007,00042,Queso Oaxaca Mini Cataviña Por KG,CATAVIÑA,QUESOS OAXACA,Cremería y Salchichonería,PZA,150.5,140.0,,,,,,94,True
01605003,00123,Queso Oaxaca Mini El Oaxaquito Saucito Por KG,SAUCITO,QUESOS OAXACA,Cremería y Salchichonería,PZA,121.8,114.9,,,,,,11,True
5941383,00912,Queso Oaxaca San Diego  (1 Kg),SAN DIEGO,QUESOS OAXACA,Cremería y Salchichonería,PZA,105.6,96.9,,,,105.6,kg,37,True
9830071,00817,Queso Oaxaca Vanesa peso promedio por pieza 2kg,VANESA,QUESOS OAXACA,Cremería y Salchichonería,PZA,124.1,115.5,,,,62.05,kg,50,True
00410102,00195,Queso Oaxaca de Poxtla Económico  1 Kg,POXTLA,QUESOS OAXACA,Cremería y Salchichonería,PZA,124.8,112.9,,,,124.8,kg,25,True
1701518,070330724341,RASTRILLO DESECHABLE COMFORT 2 BIC  12/12 PZ,BIC,RASTRILLO DESECHABLE,Cuidado Personal e Higiene,PZA,131.7,,,1580.4,12,,,15,True
1205030,97591066701018,RASTRILLOS SCHICK XTREME 3 12-12 PZ,SHICK,RASTRILLO DESECHABLE,Cuidado Personal e Higiene,PZA,175.0,,,2100.0,12,,,35,True
9206013,7500435142403,Rastrillo Desechable Prestobarba 3 Ultragrip Gillette Tira con 24 pzas,PRESTOBARBA,RASTRILLO DESECHABLE,Cuidado Personal e Higiene,PZA,369.26,,,8862.2,24,,,24,True
1100018,7506195108734,Rastrillo Prestobarba Ultra Grip Gillette 12 pzas,PRESTOBARBA,RASTRILLO DESECHABLE,Cuidado Personal e Higiene,PZA,194.0,,,9312.0,48,,,67,True
1101024,7500435182263,Rastrillos Gillette Prestobarba 3 Tira 14 pzas,PRESTOBARBA,RASTRILLO DESECHABLE,Cuidado Personal e Higiene,PZA,281.8,,,3381.6,12,,,15,True
1701715,070330717541,Tira de Rastrillos Desechables Bic Comfort 3  12 pzas,BIC,RASTRILLO DESECHABLE,Cuidado Personal e Higiene,PZA,163.6,,,1963.2,12,,,11,True
0050104,00099,JAMÓN (RECORTE),GENERICO,RECORTE,Cremería y Salchichonería,PZA,42.0,,,,,,,2,True
5500316,7503000070101,Azucar Refinada Zulka Bulto 25 Kg,ZULKA,REFINADA,Canasta Básica / Primera Necesidad,PZA,572.0,,,,,22.88,kg,6,True
4790428,750103131682,REFRESCO PEPSI 12-1.5LTS,PEPSI,REFRESCO DE COLA,Bebidas y Jugos,PZA,23.9,20.99,,251.9,12,15.93,L,93,True
4790123,7501031310098,REFRESCO PEPSI 8-3 LT,PEPSI,REFRESCO DE COLA,Bebidas y Jugos,PZA,43.3,35.88,,287.0,8,14.43,L,100,True
4780105,4780105,Refresco Coca-Cola Original 1 L,COCA COLA,REFRESCO DE COLA,Bebidas y Jugos,PZA,30.8,27.69,,332.3,12,30.8,L,89,True
4780125,7501055304745,Refresco Coca-Cola Original 3 L,COCA COLA,REFRESCO DE COLA,Bebidas y Jugos,PZA,45.0,40.5,,324.0,8,15.0,L,87,True
4780143,7501055361540,Refresco Coca-Cola Original 355 Ml,COCA COLA,REFRESCO DE COLA,Bebidas y Jugos,PZA,19.5,17.55,,210.6,12,54.93,L,1266,True
4780102,75007614,Refresco Coca-Cola Original 600 Ml,COCA COLA,REFRESCO DE COLA,Bebidas y Jugos,PZA,19.5,17.5,,420.0,24,32.5,L,3075,True
4790427,7501031310012,Refresco De Cola Pepsi 600 Ml,PEPSI,REFRESCO DE COLA,Bebidas y Jugos,PZA,13.5,,,162.0,12,22.5,L,187,True
4831110,0793573950079,Refresco De Cola Red Cola 3 L,RED COLA,REFRESCO DE COLA,Bebidas y Jugos,PZA,34.4,30.94,,247.5,8,11.47,L,372,True
4831120,7503006897016,Refresco De Cola Red Cola 600 Ml,RED COLA,REFRESCO DE COLA,Bebidas y Jugos,PZA,14.0,13.67,,328.1,24,23.33,L,1067,True
9070140,7501022013052,Refresco Pepsi Black  sin Azúcar 600ml,PEPSI,REFRESCO DE COLA,Bebidas y Jugos,PZA,15.9,14.24,,170.9,12,26.5,L,43,True
4790433,7501022013069,Refresco Pepsi black 1.5L,PEPSI,REFRESCO DE COLA,Bebidas y Jugos,PZA,23.9,18.99,,227.9,12,15.93,L,83,True
4859938,7501073839885,Agua Mineral Peñafiel Limonada Sabor Limón 600 Ml,PEÑAFIEL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,17.7,15.0,,180.0,12,29.5,L,451,True
4859936,7501073839861,Agua Mineral Peñafiel Naranjada Sabor Naranja 2 L,PEÑAFIEL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,33.6,28.5,,228.0,8,16.8,L,163,True
4859939,7501073839854,Agua Mineral Peñafiel Naranjada Sabor Naranja 600 Ml,PEÑAFIEL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,17.7,15.0,,180.0,12,29.5,L,576,True
4790526,7501031360048,REFRESCO MANZANITA SOL 8-3 LT,MANZANITA SOL,REFRESCO DE SABOR,Bebidas y Jugos,PZA,45.2,39.31,,314.5,8,15.07,L,65,True
4790326,7501022014646,Refresco 7 Up 3 L,7UP,REFRESCO DE SABOR,Bebidas y Jugos,PZA,45.2,39.31,,314.5,8,15.07,L,67,True
4831017,744886375059,Refresco Jarritos Sabor Mandarina 2 L,JARRITOS,REFRESCO DE SABOR,Bebidas y Jugos,PZA,22.5,21.64,,173.1,8,11.25,L,367,True
4831018,7503006897214,Refresco Jarritos Sabor Manzana 2 L,JARRITOS,REFRESCO DE SABOR,Bebidas y Jugos,PZA,22.5,21.64,,173.1,8,11.25,L,449,True
